crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
71,https://novel.munpia.com/485558,485558,71,로노바,이혼 후 재벌가 출신 전처가 매달린다,"현대판타지, 드라마",553,553,3,3,66.39%,66.39
72,https://novel.munpia.com/475822,475822,72,곽탁타,뗀석기로 우주방어,"대체역사, SF",515,515,7,7,59.59%,59.59
73,https://novel.munpia.com/481784,481784,73,린더,방구석 메카닉은 종말이 쉽다,"현대판타지, 게임",494,494,5,5,66.43%,66.43
74,https://novel.munpia.com/476151,476151,74,발타자,국가대표 사격천재의 게임방송,"현대판타지, 스포츠",490,490,6,6,41.10%,41.1
75,https://novel.munpia.com/477026,477026,75,장스,5살부터 시작하는 게임 개발,"현대판타지, 게임",490,490,1,1,60.14%,60.14
76,https://novel.munpia.com/481054,481054,76,햄버그,기연수선전,"무협, 판타지",482,482,1,1,77.42%,77.42
77,https://novel.munpia.com/479491,479491,77,반고르,돌아온 북부 대공은 전쟁의 신(神),"판타지, 전쟁·밀리터리",446,446,4,4,49.37%,49.37
78,https://novel.munpia.com/485080,485080,78,치킨동무,상남자가 영조를 키우는 법,"대체역사, 퓨전",414,414,4,4,-,
79,https://novel.munpia.com/482497,482497,79,늬파랑,방구석에서 돈을 너무 쉽게 번다,"현대판타지, 퓨전",411,411,4,4,50.80%,50.8
80,https://novel.munpia.com/483802,483802,80,서리현,내향인인데 EX급이라 주목받아버림,"현대판타지, 퓨전",379,379,4,4,86.75%,86.75
81,https://novel.munpia.com/477945,477945,81,동동아리,동창의 서고지기,"무협, 드라마",375,375,5,5,34.18%,34.18
82,https://novel.munpia.com/476202,476202,82,이그드라시,대영제국이 양심을 장착함,"대체역사, 판타지",371,371,5,5,52.55%,52.55
83,https://novel.munpia.com/484122,484122,83,13월생,물려받은 유산덕에 통장 잔고가 계속 쌓임,"현대판타지, 퓨전",370,370,6,6,62.87%,62.87
84,https://novel.munpia.com/485772,485772,84,잭꿀,내 힐 사정거리 무한,"현대판타지, 퓨전",368,368,6,6,-,
85,https://novel.munpia.com/479245,479245,85,인더정글,악마의 재능으로 역대급 리드오프,"스포츠, 현대판타지",356,356,3,3,44.69%,44.69
86,https://novel.munpia.com/482758,482758,86,테드K,1000조를 굴리는 인턴,"현대판타지, 대체역사",354,354,6,6,-,
87,https://novel.munpia.com/482340,482340,87,로빈(爐彬),서울에 핵 쏜 새끼 찾습니다,"현대판타지, 대체역사",350,350,6,6,-,
88,https://novel.munpia.com/482287,482287,88,따상,정이 많은 농부로 착각당했다,"현대판타지, 퓨전",339,339,6,6,-,
