crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
1,https://novel.munpia.com/475581,475581,1,페르세르크,방구석 경제학자,현대판타지,"10,345",10345,0,0.0,64.29%,64.29
2,https://novel.munpia.com/475633,475633,2,연함™,뇌각성 후 인생 역전,"현대판타지, 판타지","8,200",8200,0,0.0,38.12%,38.12
3,https://novel.munpia.com/476222,476222,3,풀드로우,자살 부대의 불사자는 착각당한다,"퓨전, 현대판타지","7,289",7289,1,1.0,63.57%,63.57
4,https://novel.munpia.com/476663,476663,4,시하,백수가 너무 유능하다.,"현대판타지, 드라마","7,202",7202,-1,-1.0,60.44%,60.44
5,https://novel.munpia.com/484223,484223,5,캡슐호텔,하루에 2배씩 강해지는 헌터,"현대판타지, 퓨전","6,331",6331,0,0.0,-,
6,https://novel.munpia.com/476823,476823,6,늑타리요,초월급 투자자가 돈을 너무 잘 벎,"현대판타지, 퓨전","5,779",5779,0,0.0,62.36%,62.36
7,https://novel.munpia.com/480265,480265,7,우림™,삼류무사에서 천억 투수까지,"스포츠, 현대판타지","5,678",5678,0,0.0,44.29%,44.29
8,https://novel.munpia.com/475566,475566,8,Merkava,알 카포네 검은머리 데릴사위,"대체역사, 현대판타지","5,269",5269,0,0.0,67.14%,67.14
9,https://novel.munpia.com/475625,475625,9,흠박,물리학도는 마법이 너무 쉽다,"판타지, 퓨전","5,206",5206,0,0.0,63.21%,63.21
10,https://novel.munpia.com/478513,478513,10,시작의바다,축구 천재인 거 나만 모름,스포츠,"4,501",4501,5,5.0,76.71%,76.71
11,https://novel.munpia.com/477413,477413,11,단열,귀환했더니 국가권력급 거물이 되었다,"현대판타지, 판타지","4,245",4245,-1,-1.0,34.31%,34.31
12,https://novel.munpia.com/475882,475882,12,리첼렌,성군 순종대왕 일대기,"대체역사, 판타지","3,820",3820,-1,-1.0,56.99%,56.99
13,https://novel.munpia.com/482006,482006,13,도얀,폐급 힐러가 인간 빼고 다 고침,"현대판타지, 판타지","3,637",3637,0,0.0,73.83%,73.83
14,https://novel.munpia.com/475906,475906,14,아라만,집구석 로켓배송,"현대판타지, 판타지","3,484",3484,0,0.0,57.64%,57.64
15,https://novel.munpia.com/477241,477241,15,치규치규,2군 포수가 1군보다 잘함,"스포츠, 현대판타지","2,586",2586,1,1.0,38.07%,38.07
16,https://novel.munpia.com/475724,475724,16,긍정적마음,토토충이 돈 복사 버그를 씀,"현대판타지, 스포츠","2,340",2340,1,1.0,51.12%,51.12
17,https://novel.munpia.com/476032,476032,17,체대생,백수인데 탑스타로 착각당함,"현대판타지, 드라마","2,309",2309,1,1.0,138.46%,
18,https://novel.munpia.com/477282,477282,18,글쥐어짜기,내 뚝배기에 날아든 AI,"현대판타지, 판타지","2,280",2280,1,1.0,76.35%,76.35
19,https://novel.munpia.com/475641,475641,19,오토마톤G,돈 버는 재능이 넘쳐나는 영주님,"판타지, 현대판타지","2,235",2235,1,1.0,65.37%,65.37
20,https://novel.munpia.com/475703,475703,20,쩡킴,부업했더니 돈이 미친듯이 벌림,"현대판타지, 판타지","2,074",2074,1,1.0,41.08%,41.08
21,https://novel.munpia.com/478439,478439,21,땅콩헌터,마물들의 명의가 됨,"현대판타지, 퓨전","1,990",1990,1,1.0,63.36%,63.36
22,https://novel.munpia.com/475958,475958,22,노랑™,전역 후 아공간에 돈이 계속 쌓임,"현대판타지, 퓨전","1,954",1954,1,1.0,23.65%,23.65
23,https://novel.munpia.com/476981,476981,23,E787,공작가 장남은 전직 S급 헌터,"판타지, 퓨전","1,883",1883,3,3.0,43.35%,43.35
24,https://novel.munpia.com/476343,476343,24,이디즈,9급부터 북부대공까지,"판타지, 퓨전","1,856",1856,1,1.0,56.49%,56.49
25,https://novel.munpia.com/475664,475664,25,정육면체,아공간수선전(亞空間修仙傳),"무협, 퓨전","1,786",1786,2,2.0,66.72%,66.72
26,https://novel.munpia.com/478990,478990,26,글코틴,이혼 후 돈이 굴러들어옴,"현대판타지, 판타지","1,724",1724,7,7.0,62.78%,62.78
27,https://novel.munpia.com/478275,478275,27,콜벳,선협 속 거미가 천재임,"무협, 퓨전","1,676",1676,2,2.0,72.99%,72.99
28,https://novel.munpia.com/476039,476039,28,아이스바인™,이혼 후 조만장자,현대판타지,"1,660",1660,2,2.0,60.74%,60.74
29,https://novel.munpia.com/475523,475523,29,낙비(樂悲),엘프 제국의 세계수가 되었다,"판타지, 퓨전","1,639",1639,-1,-1.0,36.78%,36.78
30,https://novel.munpia.com/480433,480433,30,자몽라임,회귀한 마취과 의사는 모든 게 쉽다,"현대판타지, 드라마","1,638",1638,1,1.0,75.96%,75.96
31,https://novel.munpia.com/475738,475738,31,북콜랙터,남 주느니 쿠데타 합니다,"현대판타지, 대체역사","1,606",1606,1,1.0,63.97%,63.97
32,https://novel.munpia.com/475591,475591,32,맘모스XM,타락면역이라 재앙급 마검 들고 시작한다,"현대판타지, 판타지","1,572",1572,17,17.0,31.56%,31.56
33,https://novel.munpia.com/476319,476319,33,로드케이,선협에서 하남자로 살아남기,"현대판타지, 무협","1,466",1466,1,1.0,57.68%,57.68
34,https://novel.munpia.com/475706,475706,34,KarpeDiem,좌천당했는데 돈이 몰려온다,"현대판타지, 판타지","1,441",1441,19,19.0,45.27%,45.27
35,https://novel.munpia.com/476539,476539,35,물고기달려,선협의 천재 부사가 되었다,"무협, 판타지","1,401",1401,1,1.0,61.92%,61.92
36,https://novel.munpia.com/476794,476794,36,김형준™,아포칼립스 회귀자의 만능셸터,"현대판타지, 퓨전","1,400",1400,-1,-1.0,49.80%,49.8
37,https://novel.munpia.com/475617,475617,37,쿠우울,기사의 납골당,판타지,"1,321",1321,0,0.0,32.83%,32.83
38,https://novel.munpia.com/483667,483667,38,상한김밥,심해의 마법사,판타지,"1,319",1319,22,22.0,70.27%,70.27
39,https://novel.munpia.com/477718,477718,39,평면경,로우 판타지의 1서클 마법사,"판타지, 퓨전","1,209",1209,4,4.0,63.68%,63.68
40,https://novel.munpia.com/481682,481682,40,천성(天性),"어느 날, 코인 차트가 눈에 떠오르기 시작했다","현대판타지, 퓨전","1,148",1148,1,1.0,86.17%,86.17
41,https://novel.munpia.com/475528,475528,41,디파일러,퇴사 후 사기급 특성들을 각성했다,"현대판타지, 퓨전","1,110",1110,-2,-2.0,36.13%,36.13
42,https://novel.munpia.com/476831,476831,42,뿌링틀,비행기 잘못 타면 숙청당함.,"대체역사, 전쟁·밀리터리","1,102",1102,-2,-2.0,60.52%,60.52
43,https://novel.munpia.com/482756,482756,43,안경쓴팬더,환생 수선전,"무협, 퓨전","1,084",1084,2,2.0,84.84%,84.84
44,https://novel.munpia.com/482445,482445,44,한준솔봄,폐급 낙하산이 유일급이었음,현대판타지,"1,064",1064,0,0.0,69.02%,69.02
45,https://novel.munpia.com/483716,483716,45,발칸레이븐,미친 재능으로 1000000000000000원 번다,"현대판타지, 퓨전","1,060",1060,-3,-3.0,78.05%,78.05
46,https://novel.munpia.com/477934,477934,46,l살별l,연구만 했는데 돈이 쌓임,현대판타지,968,968,0,0.0,43.38%,43.38
47,https://novel.munpia.com/477135,477135,47,방구석와룡,마도서를 줍다 마법사가 되다,"현대판타지, 판타지",933,933,0,0.0,-,
48,https://novel.munpia.com/477059,477059,48,노마(駑馬),신들의 단톡방에 김치사발면을 바쳤다,"현대판타지, 판타지",909,909,9,9.0,43.82%,43.82
49,https://novel.munpia.com/478868,478868,49,havoc,나홀로 진짜 마법사,판타지,866,866,-1,-1.0,70.49%,70.49
50,https://novel.munpia.com/476256,476256,50,다큐인생,초지능체로 돌아왔다,"현대판타지, 드라마",841,841,1,1.0,48.61%,48.61
51,https://novel.munpia.com/483391,483391,51,홀본,고인물 스트라이커가 겸손을 숨김.,"스포츠, 현대판타지",822,822,-1,-1.0,84.23%,84.23
52,https://novel.munpia.com/483446,483446,52,프링글,백작가 막내아들이 마법공학을 잘함,"판타지, 퓨전",792,792,0,0.0,77.70%,77.7
53,https://novel.munpia.com/477152,477152,53,청학윤,삼전도의 헤드샷 조선왕자,"대체역사, 전쟁·밀리터리",770,770,2,2.0,66.42%,66.42
54,https://novel.munpia.com/477481,477481,54,독파민,초인에겐 야구가 너무 쉽다!,"스포츠, 판타지",767,767,8,8.0,65.08%,65.08
55,https://novel.munpia.com/476049,476049,55,토이카,멸망 커뮤니티의 신급 뉴비,"현대판타지, 퓨전",761,761,21,21.0,51.72%,51.72
56,https://novel.munpia.com/481817,481817,56,동쭉,선협세계의 환생자로 살아남기,"무협, 판타지",751,751,-2,-2.0,67.27%,67.27
57,https://novel.munpia.com/476099,476099,57,글쓰는문어,그 깡촌엔 명의가 산다,"현대판타지, 판타지",730,730,1,1.0,68.82%,68.82
58,https://novel.munpia.com/480522,480522,58,행운요정,콕피트의 히로인,"SF, 스포츠",729,729,-2,-2.0,75.74%,75.74
59,https://novel.munpia.com/475635,475635,59,피노키홍,취미로 발롱도르,"스포츠, 현대판타지",694,694,-47,-47.0,47.48%,47.48
60,https://novel.munpia.com/476367,476367,60,귤잠꾼,농사하다 갤러리를 주웠다,"현대판타지, 판타지",649,649,1,1.0,46.01%,46.01
61,https://novel.munpia.com/477156,477156,61,Readoff,방출 당하고 천재 투수가 되었다,"스포츠, 현대판타지",646,646,4,4.0,23.69%,23.69
62,https://novel.munpia.com/477614,477614,62,겸업백작,천재 과학자가 공룡으로 돈복사함,현대판타지,642,642,4,4.0,79.79%,79.79
63,https://novel.munpia.com/482086,482086,63,류진호,삼국지: 조조의 마누라를 뺏어버렸다,"대체역사, 드라마",599,599,0,0.0,58.27%,58.27
64,https://novel.munpia.com/481784,481784,64,린더,방구석 메카닉은 종말이 쉽다,"현대판타지, 게임",594,594,0,0.0,70.20%,70.2
65,https://novel.munpia.com/484867,484867,65,태양물고기,"축기 가문, 내가 살림","무협, 퓨전",573,573,-6,-6.0,75.41%,75.41
66,https://novel.munpia.com/485558,485558,66,로노바,이혼 후 재벌가 출신 전처가 매달린다,"현대판타지, 드라마",572,572,1,1.0,-,
67,https://novel.munpia.com/475822,475822,67,곽탁타,뗀석기로 우주방어,"대체역사, SF",558,558,1,1.0,60.93%,60.93
68,https://novel.munpia.com/476151,476151,68,발타자,국가대표 사격천재의 게임방송,"현대판타지, 스포츠",518,518,2,2.0,42.98%,42.98
69,https://novel.munpia.com/481054,481054,69,햄버그,기연수선전,"무협, 판타지",509,509,0,0.0,81.67%,81.67
70,https://novel.munpia.com/484497,484497,70,아바타.,이번 생은 아무것도 안 할 건데 돈이 너무 많음,현대판타지,497,497,1,1.0,-,
71,https://novel.munpia.com/477706,477706,71,매드캣,보급형 프로이센의 왕이 되었다,"대체역사, 전쟁·밀리터리",479,479,1,1.0,62.67%,62.67
72,https://novel.munpia.com/476924,476924,72,글철인,드래곤 하트 가지고 선협 환생,"무협, 퓨전",444,444,28,28.0,49.44%,49.44
73,https://novel.munpia.com/482497,482497,73,늬파랑,방구석에서 돈을 너무 쉽게 번다,"현대판타지, 퓨전",443,443,1,1.0,55.72%,55.72
74,https://novel.munpia.com/476202,476202,74,이그드라시,대영제국이 양심을 장착함,"대체역사, 판타지",433,433,-1,-1.0,53.84%,53.84
75,https://novel.munpia.com/479491,479491,75,반고르,돌아온 북부 대공은 전쟁의 신(神),"판타지, 전쟁·밀리터리",399,399,2,2.0,50.40%,50.4
76,https://novel.munpia.com/477945,477945,76,동동아리,동창의 서고지기,"무협, 드라마",397,397,2,2.0,37.05%,37.05
77,https://novel.munpia.com/484122,484122,77,13월생,물려받은 유산덕에 통장 잔고가 계속 쌓임,"현대판타지, 퓨전",391,391,2,2.0,66.84%,66.84
78,https://novel.munpia.com/477023,477023,78,그링스,C급 타자 몸값이 미친듯이 오름,"스포츠, 현대판타지",387,387,33,33.0,45.24%,45.24
79,https://novel.munpia.com/479245,479245,79,인더정글,악마의 재능으로 역대급 리드오프,"스포츠, 현대판타지",380,380,1,1.0,45.90%,45.9
80,https://novel.munpia.com/485080,485080,80,치킨동무,상남자가 영조를 키우는 법,"대체역사, 퓨전",379,379,1,1.0,-,
81,https://novel.munpia.com/475599,475599,81,첨G,멸망할 세계의 파견 용사,"판타지, 퓨전",367,367,8,8.0,50.77%,50.77
82,https://novel.munpia.com/482750,482750,82,달꿀,돈 쓸어담는 2회차 방산천재의 K-인더스트리,현대판타지,367,367,0,0.0,67.39%,67.39
83,https://novel.munpia.com/476785,476785,83,구채,1헥타르 아공간으로 개꿀 라이프,"현대판타지, 판타지",357,357,0,0.0,34.16%,34.16
84,https://novel.munpia.com/485087,485087,84,꿈가득남,나는 돈을 벌고 행복을 산다,"현대판타지, 판타지",357,357,1,1.0,62.30%,62.3
85,https://novel.munpia.com/476855,476855,85,원태훈,헌터가 선협 세상에서 살아남는 법,"무협, 퓨전",350,350,3,3.0,62.10%,62.1
86,https://novel.munpia.com/483122,483122,86,시윤™,퇴사 후 슬라임을 키웠더니 인생 역전,"현대판타지, 퓨전",345,345,-2,-2.0,45.91%,45.91
87,https://novel.munpia.com/475952,475952,87,닥터베르,웹소 작가 이세계 다이어리,"퓨전, 판타지",341,341,0,0.0,30.98%,30.98
88,https://novel.munpia.com/475946,475946,88,파라모르템,800억 있어도 출근하는 강 대리,현대판타지,339,339,-2,-2.0,22.47%,22.47
89,https://novel.munpia.com/485772,485772,89,잭꿀,내 힐 사정거리 무한,"현대판타지, 퓨전",337,337,1,1.0,-,
90,https://novel.munpia.com/482000,482000,90,앤서,엄청나게 돈이 벌림,"현대판타지, 퓨전",323,323,-66,-66.0,75.50%,75.5
91,https://novel.munpia.com/484076,484076,91,글럼프,엔터 옮기고 대박 터짐,"현대판타지, 퓨전",306,306,0,0.0,-,
92,https://novel.munpia.com/482758,482758,92,테드K,1000조를 버는 투자자,"현대판타지, 대체역사",299,299,0,0.0,-,
93,https://novel.munpia.com/481022,481022,93,김메탈,이혼 후 문자가 돈을 벌어다 줌,현대판타지,298,298,1,1.0,64.24%,64.24
94,https://novel.munpia.com/476344,476344,94,다물랑,역적이 꿈꾸는 제국,"대체역사, 퓨전",292,292,-1,-1.0,53.75%,53.75
95,https://novel.munpia.com/483129,483129,95,대박난작가,마나가 무한이면 모든 게 쉬워진다,현대판타지,291,291,11,11.0,52.55%,52.55
96,https://novel.munpia.com/477537,477537,96,탁틴,초월급 한의사가 다 고침.,"현대판타지, 퓨전",276,276,2,2.0,46.24%,46.24
97,https://novel.munpia.com/483378,483378,97,[세인토],나 혼자 아포칼립스에서 뽑기로 꿀빠는 법,"판타지, 퓨전",270,270,6,6.0,79.75%,79.75
98,https://novel.munpia.com/485081,485081,98,제품명,경작수선전(耕作修仙傳),"무협, 판타지",270,270,-2,-2.0,-,
99,https://novel.munpia.com/485683,485683,99,류송,돈 버는 능력이 자꾸 생긴다,"현대판타지, 퓨전",270,270,-2,-2.0,-,
100,https://novel.munpia.com/482608,482608,100,하늘땅사이,재벌집 첫째 아들,"현대판타지, 판타지",243,243,1,1.0,61.01%,61.01
101,https://novel.munpia.com/478259,478259,101,백약지장,1330 고려 망나니가 몽골을 지배함,"대체역사, 판타지",239,239,1,1.0,63.55%,63.55
102,https://novel.munpia.com/475645,475645,102,글로운,AI각성 후 천재 사원이 되었다,"현대판타지, 판타지",238,238,2,2.0,56.02%,56.02
103,https://novel.munpia.com/476020,476020,103,서야(書夜),만년 만에 돌아온 재벌이 돈을 너무 잘 벌음,"판타지, 현대판타지",237,237,2,2.0,37.35%,37.35
104,https://novel.munpia.com/475667,475667,104,서관도,게임 속 무명용사가 되었다,"판타지, 퓨전",227,227,78,78.0,49.92%,49.92
105,https://novel.munpia.com/477791,477791,105,용용드래곤,최종보스지만 농사짓습니다,"현대판타지, 판타지",222,222,5,5.0,51.07%,51.07
106,https://novel.munpia.com/477950,477950,106,조비본,술만 만들었는데 무림 명가가 되었다,"무협, 대체역사",222,222,3,3.0,66.22%,66.22
107,https://novel.munpia.com/481939,481939,107,오렌,초월무쌍,"현대판타지, 퓨전",221,221,1,1.0,73.26%,73.26
108,https://novel.munpia.com/478107,478107,108,Analog감성,이성계 아들이 사업을 잘함,"대체역사, 판타지",214,214,7,7.0,76.30%,76.3
109,https://novel.munpia.com/482375,482375,109,사제르트,로마노프 살리기,"대체역사, 판타지",209,209,3,3.0,66.34%,66.34
110,https://novel.munpia.com/477238,477238,110,왕형님,공무원이 아이돌을 잘 키움,현대판타지,208,208,12,12.0,72.10%,72.1
111,https://novel.munpia.com/479971,479971,111,째개,아포칼립스 꿈의 집 만들기,"현대판타지, 게임",208,208,2,2.0,40.25%,40.25
112,https://novel.munpia.com/476235,476235,112,담하파,내가 사면 무조건 오름,"현대판타지, 퓨전",206,206,-74,-74.0,39.56%,39.56
113,https://novel.munpia.com/480538,480538,113,강원산,명가의 아들은 9서클 회귀마법사,"현대판타지, 퓨전",195,195,6,6.0,39.68%,39.68
114,https://novel.munpia.com/475580,475580,114,벤조,삼국지 애비 셋 후레자식의 아들이 되었다,"대체역사, 판타지",195,195,6,6.0,40.74%,40.74
115,https://novel.munpia.com/477005,477005,115,김첼프,야구 천재 영결집 막내아들,"스포츠, 현대판타지",193,193,1,1.0,33.41%,33.41
116,https://novel.munpia.com/481628,481628,116,시인단테,차원 이동자의 영지는 AI기사로 캐리한다,"판타지, 퓨전",191,191,2,2.0,63.30%,63.3
117,https://novel.munpia.com/475983,475983,117,아랫뉘,항우는 유방의 제국을 빼앗는다,"대체역사, 전쟁·밀리터리",186,186,0,0.0,32.65%,32.65
118,https://novel.munpia.com/486257,486257,118,사슴벌레턱,내 정원이 괴물을 먹음,"현대판타지, 판타지",182,182,-4,-4.0,-,
119,https://novel.munpia.com/483934,483934,119,아몬드빵,퇴근하고 스타 몇판 하는데 이게 돈이 된다,"현대판타지, 스포츠",180,180,2,2.0,-,
