crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
1,https://novel.munpia.com/475581,475581,1,페르세르크,방구석 경제학자,현대판타지,"9,358",9358,0,0.0,70.42%,70.42
2,https://novel.munpia.com/475633,475633,2,연함™,뇌각성 후 인생 역전,"현대판타지, 판타지","8,908",8908,0,0.0,47.40%,47.4
3,https://novel.munpia.com/480265,480265,3,우림™,삼류무사에서 천억 투수까지,"스포츠, 현대판타지","5,812",5812,0,0.0,45.13%,45.13
4,https://novel.munpia.com/475566,475566,4,Merkava,알 카포네 검은머리 데릴사위,"대체역사, 현대판타지","4,519",4519,0,0.0,76.61%,76.61
5,https://novel.munpia.com/476222,476222,5,풀드로우,자살 부대의 불사자는 착각당한다,"퓨전, 현대판타지","4,505",4505,0,0.0,69.89%,69.89
6,https://novel.munpia.com/475625,475625,6,흠박,물리학도는 마법이 너무 쉽다,"판타지, 퓨전","4,475",4475,0,0.0,68.54%,68.54
7,https://novel.munpia.com/477413,477413,7,단열,귀환했더니 국가권력급 거물이 되었다,"현대판타지, 판타지","4,027",4027,0,0.0,38.29%,38.29
8,https://novel.munpia.com/475882,475882,8,리첼렌,성군 순종대왕 일대기,"대체역사, 판타지","3,487",3487,1,1.0,57.64%,57.64
9,https://novel.munpia.com/475906,475906,9,아라만,집구석 로켓배송,"현대판타지, 판타지","2,926",2926,4,4.0,61.06%,61.06
10,https://novel.munpia.com/477241,477241,10,치규치규,2군 포수가 1군보다 잘함,"스포츠, 현대판타지","2,820",2820,0,0.0,43.85%,43.85
11,https://novel.munpia.com/484223,484223,11,캡슐호텔,하루에 2배씩 강해지는 헌터,"현대판타지, 퓨전","2,804",2804,0,0.0,-,
12,https://novel.munpia.com/475703,475703,12,쩡킴,부업했더니 돈이 미친듯이 벌림,"현대판타지, 판타지","2,700",2700,0,0.0,44.44%,44.44
13,https://novel.munpia.com/478513,478513,13,시작의바다,축구 천재인 거 나만 모름,스포츠,"2,544",2544,6,6.0,78.38%,78.38
14,https://novel.munpia.com/476823,476823,14,늑타리요,초월급 투자자가 돈을 너무 잘 벎,"현대판타지, 퓨전","2,315",2315,4,4.0,66.97%,66.97
