crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
1,https://novel.munpia.com/478513,478513,1,시작의바다,축구 천재인 거 나만 모름,스포츠,"8,267",8267,0,0.0,78.01%,78.01
2,https://novel.munpia.com/475625,475625,2,흠박,물리학도는 마법이 너무 쉽다,"판타지, 퓨전","6,964",6964,0,0.0,68.54%,68.54
3,https://novel.munpia.com/475633,475633,3,연함™,뇌각성 후 인생 역전,"현대판타지, 판타지","6,056",6056,0,0.0,42.33%,42.33
4,https://novel.munpia.com/477413,477413,4,단열,귀환했더니 국가권력급 거물이 되었다,"현대판타지, 판타지","5,786",5786,0,0.0,38.31%,38.31
5,https://novel.munpia.com/476823,476823,5,늑타리요,초월급 투자자가 돈을 너무 잘 벎,"현대판타지, 퓨전","5,374",5374,0,0.0,66.29%,66.29
6,https://novel.munpia.com/475906,475906,6,아라만,집구석 로켓배송,"현대판타지, 판타지","5,360",5360,0,0.0,61.02%,61.02
7,https://novel.munpia.com/475591,475591,7,맘모스XM,타락면역이라 재앙급 마검 들고 시작한다,"현대판타지, 판타지","5,242",5242,0,0.0,36.43%,36.43
8,https://novel.munpia.com/475581,475581,8,페르세르크,방구석 경제학자,현대판타지,"4,659",4659,4,4.0,68.19%,68.19
9,https://novel.munpia.com/476663,476663,9,시하,백수가 너무 유능하다.,"현대판타지, 드라마","4,147",4147,-1,-1.0,64.85%,64.85
10,https://novel.munpia.com/477395,477395,10,페디아,FA 직전 로또에 당첨됐다!,"스포츠, 현대판타지","3,992",3992,-1,-1.0,75.17%,75.17
11,https://novel.munpia.com/475706,475706,11,KarpeDiem,좌천당했는데 돈이 몰려온다,"현대판타지, 판타지","3,955",3955,-1,-1.0,55.94%,55.94
12,https://novel.munpia.com/475566,475566,12,Merkava,알 카포네 검은머리 데릴사위,"대체역사, 현대판타지","3,546",3546,1,1.0,70.81%,70.81
13,https://novel.munpia.com/480265,480265,13,우림™,삼류무사에서 천억 투수까지,"스포츠, 현대판타지","3,414",3414,4,4.0,43.47%,43.47
