crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
1,https://novel.munpia.com/475581,475581,1,페르세르크,방구석 경제학자,현대판타지,"10,022",10022,1,1,63.18%,63.18
2,https://novel.munpia.com/475633,475633,2,연함™,뇌각성 후 인생 역전,"현대판타지, 판타지","7,831",7831,1,1,37.03%,37.03
3,https://novel.munpia.com/476222,476222,3,풀드로우,자살 부대의 불사자는 착각당한다,"퓨전, 현대판타지","7,437",7437,1,1,63.21%,63.21
4,https://novel.munpia.com/476663,476663,4,시하,백수가 너무 유능하다.,"현대판타지, 드라마","7,138",7138,1,1,59.31%,59.31
5,https://novel.munpia.com/484223,484223,5,캡슐호텔,하루에 2배씩 강해지는 헌터,"현대판타지, 퓨전","6,427",6427,1,1,-,
6,https://novel.munpia.com/480265,480265,6,우림™,삼류무사에서 천억 투수까지,"스포츠, 현대판타지","5,519",5519,3,3,42.22%,42.22
7,https://novel.munpia.com/476823,476823,7,늑타리요,초월급 투자자가 돈을 너무 잘 벎,"현대판타지, 퓨전","5,449",5449,1,1,61.73%,61.73
8,https://novel.munpia.com/475566,475566,8,Merkava,알 카포네 검은머리 데릴사위,"대체역사, 현대판타지","5,417",5417,2,2,65.92%,65.92
9,https://novel.munpia.com/475625,475625,9,흠박,물리학도는 마법이 너무 쉽다,"판타지, 퓨전","4,932",4932,3,3,61.43%,61.43
10,https://novel.munpia.com/477413,477413,10,단열,귀환했더니 국가권력급 거물이 되었다,"현대판타지, 판타지","4,098",4098,5,5,33.64%,33.64
11,https://novel.munpia.com/475882,475882,11,리첼렌,성군 순종대왕 일대기,"대체역사, 판타지","3,829",3829,5,5,56.81%,56.81
12,https://novel.munpia.com/475635,475635,12,피노키홍,취미로 발롱도르,"스포츠, 현대판타지","3,575",3575,5,5,46.28%,46.28
13,https://novel.munpia.com/475906,475906,13,아라만,집구석 로켓배송,"현대판타지, 판타지","3,120",3120,6,6,56.63%,56.63
14,https://novel.munpia.com/477282,477282,14,글쥐어짜기,내 뚝배기에 날아든 AI,"현대판타지, 판타지","2,814",2814,4,4,74.97%,74.97
15,https://novel.munpia.com/478513,478513,15,시작의바다,축구 천재인 거 나만 모름,스포츠,"2,735",2735,-14,-14,76.72%,76.72
16,https://novel.munpia.com/477241,477241,16,치규치규,2군 포수가 1군보다 잘함,"스포츠, 현대판타지","2,524",2524,5,5,37.13%,37.13
17,https://novel.munpia.com/475641,475641,17,오토마톤G,돈 버는 재능이 넘쳐나는 영주님,"판타지, 현대판타지","2,455",2455,5,5,64.93%,64.93
18,https://novel.munpia.com/475776,475776,18,밤카다,101번째 드래프티는 야구가 너무 쉬움,"스포츠, 현대판타지","2,252",2252,5,5,50.88%,50.88
19,https://novel.munpia.com/475724,475724,19,긍정적마음,토토충이 돈 복사 버그를 씀,"현대판타지, 스포츠","2,236",2236,5,5,49.66%,49.66
