crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
1,https://novel.munpia.com/478513,478513,1,시작의바다,축구 천재인 거 나만 모름,스포츠,"12,640",12640,0,0.0,78.08%,78.08
2,https://novel.munpia.com/475581,475581,2,페르세르크,방구석 경제학자,현대판타지,"8,835",8835,0,0.0,65.52%,65.52
3,https://novel.munpia.com/475633,475633,3,연함™,뇌각성 후 인생 역전,"현대판타지, 판타지","7,600",7600,0,0.0,39.34%,39.34
4,https://novel.munpia.com/476823,476823,4,늑타리요,초월급 투자자가 돈을 너무 잘 벎,"현대판타지, 퓨전","6,185",6185,0,0.0,63.05%,63.05
5,https://novel.munpia.com/476663,476663,5,시하,백수가 너무 유능하다.,"현대판타지, 드라마","6,101",6101,0,0.0,61.97%,61.97
6,https://novel.munpia.com/476222,476222,6,풀드로우,자살 부대의 불사자는 착각당한다,"퓨전, 현대판타지","5,959",5959,1,1.0,64.09%,64.09
7,https://novel.munpia.com/475591,475591,7,맘모스XM,타락면역이라 재앙급 마검 들고 시작한다,"현대판타지, 판타지","5,847",5847,-1,-1.0,34.09%,34.09
8,https://novel.munpia.com/484223,484223,8,캡슐호텔,하루에 2배씩 강해지는 헌터,"현대판타지, 퓨전","5,422",5422,0,0.0,-,
9,https://novel.munpia.com/480265,480265,9,우림™,삼류무사에서 천억 투수까지,"스포츠, 현대판타지","4,917",4917,1,1.0,44.13%,44.13
10,https://novel.munpia.com/475566,475566,10,Merkava,알 카포네 검은머리 데릴사위,"대체역사, 현대판타지","4,706",4706,2,2.0,67.95%,67.95
11,https://novel.munpia.com/475706,475706,11,KarpeDiem,좌천당했는데 돈이 몰려온다,"현대판타지, 판타지","4,684",4684,0,0.0,50.70%,50.7
12,https://novel.munpia.com/475625,475625,12,흠박,물리학도는 마법이 너무 쉽다,"판타지, 퓨전","4,230",4230,2,2.0,64.48%,64.48
13,https://novel.munpia.com/483667,483667,13,상한김밥,심해의 마법사,판타지,"4,071",4071,0,0.0,-,
14,https://novel.munpia.com/475635,475635,14,피노키홍,취미로 발롱도르,"스포츠, 현대판타지","3,535",3535,1,1.0,50.65%,50.65
15,https://novel.munpia.com/475882,475882,15,리첼렌,성군 순종대왕 일대기,"대체역사, 판타지","3,454",3454,1,1.0,56.95%,56.95
16,https://novel.munpia.com/477413,477413,16,단열,귀환했더니 국가권력급 거물이 되었다,"현대판타지, 판타지","3,407",3407,1,1.0,34.90%,34.9
17,https://novel.munpia.com/482006,482006,17,도얀,폐급 힐러가 인간 빼고 다 고침,"현대판타지, 판타지","2,972",2972,1,1.0,75.49%,75.49
18,https://novel.munpia.com/476049,476049,18,토이카,멸망 커뮤니티의 신급 뉴비,"현대판타지, 퓨전","2,515",2515,1,1.0,55.86%,55.86
19,https://novel.munpia.com/476032,476032,19,체대생,백수인데 탑스타로 착각당함,"현대판타지, 드라마","2,422",2422,1,1.0,83.26%,83.26
20,https://novel.munpia.com/477059,477059,20,노마(駑馬),신들의 단톡방에 김치사발면을 바쳤다,"현대판타지, 판타지","2,290",2290,1,1.0,47.15%,47.15
21,https://novel.munpia.com/477718,477718,21,평면경,로우 판타지의 1서클 마법사,"판타지, 퓨전","2,284",2284,1,1.0,66.10%,66.1
22,https://novel.munpia.com/475776,475776,22,밤카다,101번째 드래프티는 야구가 너무 쉬움,"스포츠, 현대판타지","2,255",2255,1,1.0,54.53%,54.53
23,https://novel.munpia.com/477241,477241,23,치규치규,2군 포수가 1군보다 잘함,"스포츠, 현대판타지","2,096",2096,3,3.0,39.04%,39.04
24,https://novel.munpia.com/475724,475724,24,긍정적마음,토토충이 돈 복사 버그를 씀,"현대판타지, 스포츠","2,053",2053,1,1.0,52.44%,52.44
25,https://novel.munpia.com/475906,475906,25,아라만,집구석 로켓배송,"현대판타지, 판타지","2,024",2024,21,21.0,58.01%,58.01
26,https://novel.munpia.com/475641,475641,26,오토마톤G,돈 버는 재능이 넘쳐나는 영주님,"판타지, 현대판타지","2,018",2018,-2,-2.0,66.30%,66.3
27,https://novel.munpia.com/475958,475958,27,노랑™,전역 후 아공간에 돈이 계속 쌓임,"현대판타지, 퓨전","1,877",1877,0,0.0,24.81%,24.81
28,https://novel.munpia.com/477481,477481,28,독파민,초인에겐 야구가 너무 쉽다!,"스포츠, 판타지","1,802",1802,0,0.0,68.81%,68.81
29,https://novel.munpia.com/478439,478439,29,땅콩헌터,마물들의 명의가 됨,"현대판타지, 퓨전","1,785",1785,0,0.0,64.76%,64.76
30,https://novel.munpia.com/475703,475703,30,쩡킴,부업했더니 돈이 미친듯이 벌림,"현대판타지, 판타지","1,719",1719,2,2.0,42.15%,42.15
31,https://novel.munpia.com/475523,475523,31,낙비(樂悲),엘프 제국의 세계수가 되었다,"판타지, 퓨전","1,638",1638,-1,-1.0,37.17%,37.17
32,https://novel.munpia.com/477282,477282,32,글쥐어짜기,내 뚝배기에 날아든 AI,"현대판타지, 판타지","1,597",1597,1,1.0,76.75%,76.75
33,https://novel.munpia.com/476343,476343,33,이디즈,9급부터 북부대공까지,"판타지, 퓨전","1,442",1442,8,8.0,56.07%,56.07
34,https://novel.munpia.com/475738,475738,34,북콜랙터,남 주느니 쿠데타 합니다,"현대판타지, 대체역사","1,426",1426,0,0.0,64.33%,64.33
35,https://novel.munpia.com/475664,475664,35,정육면체,아공간수선전(亞空間修仙傳),"무협, 퓨전","1,419",1419,4,4.0,67.07%,67.07
36,https://novel.munpia.com/476924,476924,36,글철인,드래곤 하트 가지고 선협 환생,"무협, 퓨전","1,403",1403,0,0.0,53.53%,53.53
37,https://novel.munpia.com/476319,476319,37,로드케이,선협에서 하남자로 살아남기,"현대판타지, 무협","1,401",1401,0,0.0,59.07%,59.07
38,https://novel.munpia.com/480433,480433,38,자몽라임,회귀한 마취과 의사는 모든 게 쉽다,"현대판타지, 드라마","1,399",1399,0,0.0,77.37%,77.37
39,https://novel.munpia.com/476039,476039,39,아이스바인™,이혼 후 조만장자,현대판타지,"1,387",1387,1,1.0,61.42%,61.42
40,https://novel.munpia.com/478275,478275,40,콜벳,선협 속 거미가 천재임,"무협, 퓨전","1,296",1296,2,2.0,72.76%,72.76
41,https://novel.munpia.com/476981,476981,41,E787,공작가 장남은 전직 S급 헌터,"판타지, 퓨전","1,295",1295,6,6.0,45.38%,45.38
42,https://novel.munpia.com/475617,475617,42,쿠우울,기사의 납골당,판타지,"1,243",1243,1,1.0,33.38%,33.38
43,https://novel.munpia.com/477023,477023,43,그링스,C급 타자 몸값이 미친듯이 오름,"스포츠, 현대판타지","1,201",1201,1,1.0,48.71%,48.71
44,https://novel.munpia.com/476539,476539,44,물고기달려,선협의 천재 부사가 되었다,"무협, 판타지","1,163",1163,1,1.0,63.99%,63.99
