crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
1,https://novel.munpia.com/478513,478513,1,시작의바다,축구 천재인 거 나만 모름,스포츠,"8,495",8495,0,0.0,79.15%,79.15
2,https://novel.munpia.com/475581,475581,2,페르세르크,방구석 경제학자,현대판타지,"8,023",8023,0,0.0,69.43%,69.43
3,https://novel.munpia.com/475633,475633,3,연함™,뇌각성 후 인생 역전,"현대판타지, 판타지","7,700",7700,0,0.0,44.86%,44.86
4,https://novel.munpia.com/476823,476823,4,늑타리요,초월급 투자자가 돈을 너무 잘 벎,"현대판타지, 퓨전","6,293",6293,0,0.0,68.37%,68.37
5,https://novel.munpia.com/475591,475591,5,맘모스XM,타락면역이라 재앙급 마검 들고 시작한다,"현대판타지, 판타지","6,221",6221,0,0.0,37.85%,37.85
6,https://novel.munpia.com/480265,480265,6,우림™,삼류무사에서 천억 투수까지,"스포츠, 현대판타지","4,684",4684,2,2.0,44.21%,44.21
7,https://novel.munpia.com/475706,475706,7,KarpeDiem,좌천당했는데 돈이 몰려온다,"현대판타지, 판타지","4,655",4655,0,0.0,59.50%,59.5
8,https://novel.munpia.com/476663,476663,8,시하,백수가 너무 유능하다.,"현대판타지, 드라마","4,474",4474,1,1.0,67.19%,67.19
9,https://novel.munpia.com/476222,476222,9,풀드로우,자살 부대의 불사자는 착각당한다,"퓨전, 현대판타지","4,389",4389,1,1.0,68.91%,68.91
10,https://novel.munpia.com/475566,475566,10,Merkava,알 카포네 검은머리 데릴사위,"대체역사, 현대판타지","4,037",4037,1,1.0,73.72%,73.72
11,https://novel.munpia.com/475625,475625,11,흠박,물리학도는 마법이 너무 쉽다,"판타지, 퓨전","3,819",3819,2,2.0,67.88%,67.88
12,https://novel.munpia.com/475635,475635,12,피노키홍,취미로 발롱도르,"스포츠, 현대판타지","3,595",3595,0,0.0,52.78%,52.78
13,https://novel.munpia.com/484223,484223,13,캡슐호텔,하루에 2배씩 강해지는 헌터,"현대판타지, 퓨전","3,402",3402,2,2.0,-,
14,https://novel.munpia.com/483667,483667,14,상한김밥,심해의 마법사,판타지,"3,382",3382,0,0.0,-,
15,https://novel.munpia.com/475882,475882,15,리첼렌,성군 순종대왕 일대기,"대체역사, 판타지","3,224",3224,1,1.0,57.71%,57.71
16,https://novel.munpia.com/477413,477413,16,단열,귀환했더니 국가권력급 거물이 되었다,"현대판타지, 판타지","3,118",3118,1,1.0,37.66%,37.66
17,https://novel.munpia.com/475703,475703,17,쩡킴,부업했더니 돈이 미친듯이 벌림,"현대판타지, 판타지","2,324",2324,1,1.0,43.10%,43.1
18,https://novel.munpia.com/476049,476049,18,토이카,멸망 커뮤니티의 신급 뉴비,"현대판타지, 퓨전","2,241",2241,1,1.0,61.89%,61.89
19,https://novel.munpia.com/477241,477241,19,치규치규,2군 포수가 1군보다 잘함,"스포츠, 현대판타지","2,170",2170,2,2.0,42.80%,42.8
20,https://novel.munpia.com/475776,475776,20,밤카다,101번째 드래프티는 야구가 너무 쉬움,"스포츠, 현대판타지","2,150",2150,0,0.0,58.42%,58.42
21,https://novel.munpia.com/476032,476032,21,체대생,백수인데 탑스타로 착각당함,"현대판타지, 드라마","2,040",2040,1,1.0,88.23%,88.23
22,https://novel.munpia.com/475958,475958,22,노랑™,전역 후 아공간에 돈이 계속 쌓임,"현대판타지, 퓨전","1,964",1964,1,1.0,30.44%,30.44
23,https://novel.munpia.com/477059,477059,23,노마(駑馬),신들의 단톡방에 음식을 바치는 건 돈이 된다,"현대판타지, 판타지","1,937",1937,1,1.0,51.06%,51.06
24,https://novel.munpia.com/475724,475724,24,긍정적마음,토토충이 돈 복사 버그를 씀,"현대판타지, 스포츠","1,796",1796,1,1.0,57.11%,57.11
25,https://novel.munpia.com/475906,475906,25,아라만,집구석 로켓배송,"현대판타지, 판타지","1,604",1604,26,26.0,59.72%,59.72
26,https://novel.munpia.com/475523,475523,26,낙비(樂悲),엘프 제국의 세계수가 되었다,"판타지, 퓨전","1,586",1586,0,0.0,39.21%,39.21
27,https://novel.munpia.com/477718,477718,27,평면경,로우 판타지의 1서클 마법사,"판타지, 퓨전","1,537",1537,1,1.0,70.69%,70.69
28,https://novel.munpia.com/475641,475641,28,오토마톤G,돈 버는 재능이 넘쳐나는 영주님,"판타지, 현대판타지","1,437",1437,1,1.0,67.27%,67.27
29,https://novel.munpia.com/478439,478439,29,땅콩헌터,"수의사, 마물들의 명의가 됨","현대판타지, 퓨전","1,435",1435,3,3.0,67.92%,67.92
30,https://novel.munpia.com/482006,482006,30,도얀,폐급 힐러가 인간 빼고 다 고침,"현대판타지, 판타지","1,416",1416,1,1.0,77.63%,77.63
31,https://novel.munpia.com/477481,477481,31,독파민,초인에겐 야구가 너무 쉽다!,"스포츠, 판타지","1,373",1373,2,2.0,74.10%,74.1
32,https://novel.munpia.com/482000,482000,32,앤서,엄청나게 돈이 벌림,"현대판타지, 퓨전","1,338",1338,2,2.0,86.87%,86.87
33,https://novel.munpia.com/476924,476924,33,글철인,드래곤 하트 가지고 선협 환생,"무협, 퓨전","1,289",1289,2,2.0,57.47%,57.47
34,https://novel.munpia.com/476319,476319,34,로드케이,선협에서 하남자로 살아남기,"현대판타지, 무협","1,232",1232,2,2.0,62.74%,62.74
35,https://novel.munpia.com/476981,476981,35,E787,공작가 장남은 전직 S급 헌터,판타지,"1,210",1210,8,8.0,48.66%,48.66
36,https://novel.munpia.com/475617,475617,36,쿠우울,기사의 납골당,판타지,"1,180",1180,1,1.0,34.68%,34.68
37,https://novel.munpia.com/475664,475664,37,정육면체,아공간수선전(亞空間修仙傳),"무협, 퓨전","1,172",1172,2,2.0,68.36%,68.36
38,https://novel.munpia.com/476039,476039,38,아이스바인™,이혼 후 조만장자,현대판타지,"1,122",1122,2,2.0,62.61%,62.61
39,https://novel.munpia.com/476343,476343,39,이디즈,9급부터 북부대공까지,"판타지, 퓨전","1,117",1117,2,2.0,56.07%,56.07
40,https://novel.munpia.com/476539,476539,40,물고기달려,선협의 천재 부사가 되었다,"무협, 판타지","1,070",1070,4,4.0,70.40%,70.4
41,https://novel.munpia.com/476235,476235,41,담하파,내가 사면 무조건 오름,"현대판타지, 퓨전","1,046",1046,1,1.0,42.17%,42.17
42,https://novel.munpia.com/475738,475738,42,북콜랙터,남 주느니 쿠데타 합니다,"현대판타지, 대체역사","1,028",1028,3,3.0,73.08%,73.08
43,https://novel.munpia.com/475528,475528,43,디파일러,퇴사 후 사기급 특성들을 각성했다,"현대판타지, 퓨전","1,020",1020,3,3.0,43.48%,43.48
44,https://novel.munpia.com/476831,476831,44,뿌링틀,연방의 에이스로 살아남기.,"대체역사, 전쟁·밀리터리","1,005",1005,3,3.0,64.12%,64.12
45,https://novel.munpia.com/478990,478990,45,글코틴,이혼 후 돈이 굴러들어옴,"현대판타지, 판타지",942,942,24,24.0,66.53%,66.53
46,https://novel.munpia.com/478275,478275,46,콜벳,선협 속 거미가 천재임,"무협, 퓨전",941,941,4,4.0,75.26%,75.26
47,https://novel.munpia.com/480433,480433,47,자몽라임,회귀한 마취과 의사는 모든 게 쉽다,"현대판타지, 드라마",932,932,2,2.0,79.78%,79.78
